period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
44,,1564048800,1564052400,TRUE,77,F,6 mph,SW,Chance Showers And Thunderstorms,
45,,1564052400,1564056000,TRUE,77,F,6 mph,SW,Chance Showers And Thunderstorms,
46,,1564056000,1564059600,TRUE,78,F,6 mph,SW,Widespread Showers And Thunderstorms,
47,,1564059600,1564063200,TRUE,80,F,6 mph,SW,Widespread Showers And Thunderstorms,
48,,1564063200,1564066800,TRUE,81,F,7 mph,SW,Widespread Showers And Thunderstorms,
49,,1564066800,1564070400,TRUE,83,F,8 mph,SW,Widespread Showers And Thunderstorms,
50,,1564070400,1564074000,TRUE,83,F,9 mph,SW,Widespread Showers And Thunderstorms,
51,,1564074000,1564077600,TRUE,84,F,9 mph,SW,Widespread Showers And Thunderstorms,
52,,1564077600,1564081200,TRUE,84,F,10 mph,SW,Chance Showers And Thunderstorms,
53,,1564081200,1564084800,TRUE,84,F,10 mph,WSW,Chance Showers And Thunderstorms,
54,,1564084800,1564088400,TRUE,84,F,10 mph,WSW,Chance Showers And Thunderstorms,
55,,1564088400,1564092000,TRUE,83,F,9 mph,W,Chance Showers And Thunderstorms,
