station.ids,time.stamps,latitudes,longitudes,temperature.values,temperature.unit.codes,temperature.quality.controls,dewpoint.values,dewpoint.unit.codes,dewpoint.quality.controls,wind.speed.values,wind.speed.unit.codes,wind.speed.quality.controls,wind.direction.values,wind.direction.unit.codes,wind.direction.quality.controls,wind.gust.values,wind.gust.unit.codes,wind.gust.quality.controls,wind.chill.values,wind.chill.unit.codes,wind.chill.quality.controls,barometric.pressure.values,barometric.pressure.unit.codes,barometric.pressure.quality.controls,sea.level.pressure.values,sea.level.pressure.unit.codes,sea.level.pressure.quality.controls,relative.humidity.values,relative.humidity.unit.codes,relative.humidity.quality.controls,visibility.values,visibility.unit.codes,visibility.quality.controls,heat.index.values,heat.index.unit.codes,heat.index.quality.controls
KDAB,1563652380,29.17354,-81.07186,32.200000000000045,unit:degC,qc:V,25.600000000000023,unit:degC,qc:V,4.6,unit:m_s-1,qc:V,80,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101760,unit:Pa,qc:V,68.22517196712796,unit:percent,qc:C,16090,unit:m,qc:C,40.341056199138166,unit:degC,qc:V
KRSW,1563654660,26.52694,-81.76639,24.400000000000034,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,3.1,unit:m_s-1,qc:V,230,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,90.81000703820504,unit:percent,qc:C,11270,unit:m,qc:C,25.266705739330916,unit:degC,qc:V
KFPR,1563655980,27.49806,-80.37667,30,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,110,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101740,unit:Pa,qc:V,67.39116386417842,unit:percent,qc:C,16090,unit:m,qc:C,34.421726684615805,unit:degC,qc:V
KOMN,1563652200,29.30111,-81.11361,32,unit:degC,qc:V,24,unit:degC,qc:V,3.6,unit:m_s-1,qc:V,100,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,62.71443976755973,unit:percent,qc:C,16090,unit:m,qc:C,37.917807106946725,unit:degC,qc:V
KFIN,1563652200,29.4657,-81.20872,NA,unit:degC,qc:Z,22,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,260,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,11270,unit:m,qc:C,NA,unit:degC,qc:V
K28J,1563654900,29.6586,-81.6889,32,unit:degC,qc:S,22,unit:degC,qc:S,2.6,unit:m_s-1,qc:S,210,unit:degree_(angle),qc:S,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:S,NA,unit:Pa,qc:Z,55.564587603210526,unit:percent,qc:C,16090,unit:m,qc:C,35.7949661833386,unit:degC,qc:V
KGNV,1563652380,29.69194,-82.27556,32.200000000000045,unit:degC,qc:V,21.700000000000045,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101740,unit:Pa,qc:V,53.942277788541034,unit:percent,qc:C,16090,unit:m,qc:C,35.76583894406849,unit:degC,qc:V
KSUA,1563655800,27.18167,-80.22111,30,unit:degC,qc:V,24,unit:degC,qc:V,5.1,unit:m_s-1,qc:V,119.99999999999999,unit:degree_(angle),qc:V,7.7,unit:m_s-1,qc:S,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,70.29306142592459,unit:percent,qc:C,11270,unit:m,qc:C,35.10904689010306,unit:degC,qc:V
KAPF,1563389820,26.15,-81.76667,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,5.1,unit:m_s-1,qc:V,250.00000000000003,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
K42J,1563656100,29.84475,-82.04753,34,unit:degC,qc:V,20,unit:degC,qc:V,3.6,unit:m_s-1,qc:V,180,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,43.9136630692788,unit:percent,qc:C,16090,unit:m,qc:C,36.49141312774708,unit:degC,qc:V
KCTY,1563654900,29.633326,-83.105458,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KMKY,1563656160,25.995,-81.6725,25.600000000000023,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101700,unit:Pa,qc:V,90.34377933678589,unit:percent,qc:C,16090,unit:m,qc:C,26.57453201601612,unit:degC,qc:V
KPBI,1563655980,26.6850999,-80.0991899,31.700000000000045,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,7.2,unit:m_s-1,qc:V,100,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101730,unit:Pa,qc:V,61.15666538846215,unit:percent,qc:C,16090,unit:m,qc:C,36.717842033114096,unit:degC,qc:V
KBCT,1563652020,26.3786099,-80.10778,33,unit:degC,qc:V,25,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,119.99999999999999,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,62.92958329531055,unit:percent,qc:C,16090,unit:m,qc:C,40.600776669803565,unit:degC,qc:V
KFXE,1563652380,26.2,-80.18333,31.700000000000045,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,5.7,unit:m_s-1,qc:V,140,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101740,unit:Pa,qc:V,59.33439888160026,unit:percent,qc:C,16090,unit:m,qc:C,36.19411203714924,unit:degC,qc:V
KPMP,1563655320,26.24556,-80.11139,31.100000000000023,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,4.6,unit:m_s-1,qc:V,119.99999999999999,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,65.60901725478318,unit:percent,qc:C,16090,unit:m,qc:C,36.56896396758856,unit:degC,qc:V
KFLL,1563655980,26.06806,-80.1525,29.400000000000034,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,140,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101690,unit:Pa,qc:V,67.68166402638964,unit:percent,qc:C,16090,unit:m,qc:C,33.1501761703729,unit:degC,qc:V
KHWO,1563652920,25.99889,-80.24111,28.30000000000001,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,1.5,unit:m_s-1,qc:V,90,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,77.08859410758245,unit:percent,qc:C,16090,unit:m,qc:C,32.36961423834532,unit:degC,qc:V
